timestamp, device, port, bytesReceived, bytesSent
2022-10-20T16:04:52.556915,of:0000000000000007,1,0,556
2022-10-20T16:04:52.556923,of:0000000000000007,2,0,556
2022-10-20T16:04:52.556930,of:0000000000000007,3,556,556
2022-10-20T16:04:52.556942,of:0000000000000005,1,556,556
2022-10-20T16:04:52.556950,of:0000000000000005,2,556,556
2022-10-20T16:04:52.556959,of:0000000000000005,3,556,556
2022-10-20T16:04:52.556970,of:0000000000000006,1,0,556
2022-10-20T16:04:52.556978,of:0000000000000006,2,0,556
2022-10-20T16:04:52.556988,of:0000000000000006,3,556,556
2022-10-20T16:04:53.557615,of:0000000000000003,1,0,556
2022-10-20T16:04:53.557712,of:0000000000000003,2,0,556
2022-10-20T16:04:53.557721,of:0000000000000003,3,556,556
2022-10-20T16:04:53.557733,of:0000000000000004,1,0,556
2022-10-20T16:04:53.557738,of:0000000000000004,2,0,556
2022-10-20T16:04:53.557742,of:0000000000000004,3,556,556
2022-10-20T16:04:53.557749,of:0000000000000001,1,556,556
2022-10-20T16:04:53.557753,of:0000000000000001,2,556,556
2022-10-20T16:04:53.557760,of:0000000000000002,1,556,556
2022-10-20T16:04:53.557765,of:0000000000000002,2,556,556
2022-10-20T16:04:53.557769,of:0000000000000002,3,556,556
2022-10-20T16:04:53.557775,of:0000000000000007,1,0,556
2022-10-20T16:04:53.557780,of:0000000000000007,2,0,556
2022-10-20T16:04:53.557784,of:0000000000000007,3,556,556
2022-10-20T16:04:53.557790,of:0000000000000005,1,556,556
2022-10-20T16:04:53.557795,of:0000000000000005,2,556,556
2022-10-20T16:04:53.557799,of:0000000000000005,3,556,556
2022-10-20T16:04:53.557806,of:0000000000000006,1,0,556
2022-10-20T16:04:53.557810,of:0000000000000006,2,0,556
2022-10-20T16:04:53.557814,of:0000000000000006,3,556,556
2022-10-20T16:04:54.559121,of:0000000000000003,1,0,556
2022-10-20T16:04:54.559218,of:0000000000000003,2,0,556
2022-10-20T16:04:54.559233,of:0000000000000003,3,556,556
2022-10-20T16:04:54.559254,of:0000000000000004,1,0,556
2022-10-20T16:04:54.559265,of:0000000000000004,2,0,556
2022-10-20T16:04:54.559275,of:0000000000000004,3,556,556
2022-10-20T16:04:54.559290,of:0000000000000001,1,556,556
2022-10-20T16:04:54.559300,of:0000000000000001,2,556,556
2022-10-20T16:04:54.559316,of:0000000000000002,1,556,556
2022-10-20T16:04:54.559326,of:0000000000000002,2,556,556
2022-10-20T16:04:54.559336,of:0000000000000002,3,556,556
2022-10-20T16:04:54.559352,of:0000000000000007,1,0,556
2022-10-20T16:04:54.559362,of:0000000000000007,2,0,556
2022-10-20T16:04:54.559372,of:0000000000000007,3,556,556
2022-10-20T16:04:54.559388,of:0000000000000005,1,556,556
2022-10-20T16:04:54.559398,of:0000000000000005,2,556,556
2022-10-20T16:04:54.559408,of:0000000000000005,3,556,556
2022-10-20T16:04:54.559422,of:0000000000000006,1,0,556
2022-10-20T16:04:54.559432,of:0000000000000006,2,0,556
2022-10-20T16:04:54.559443,of:0000000000000006,3,556,556
2022-10-20T16:04:55.560614,of:0000000000000003,1,0,556
2022-10-20T16:04:55.560785,of:0000000000000003,2,0,556
2022-10-20T16:04:55.560824,of:0000000000000003,3,556,556
2022-10-20T16:04:55.560850,of:0000000000000004,1,0,556
2022-10-20T16:04:55.560861,of:0000000000000004,2,0,556
2022-10-20T16:04:55.560871,of:0000000000000004,3,556,556
2022-10-20T16:04:55.560886,of:0000000000000001,1,556,556
2022-10-20T16:04:55.560896,of:0000000000000001,2,556,556
2022-10-20T16:04:55.560910,of:0000000000000002,1,556,556
2022-10-20T16:04:55.560920,of:0000000000000002,2,556,556
2022-10-20T16:04:55.560930,of:0000000000000002,3,556,556
2022-10-20T16:04:55.560943,of:0000000000000007,1,0,556
2022-10-20T16:04:55.560954,of:0000000000000007,2,0,556
2022-10-20T16:04:55.560963,of:0000000000000007,3,556,556
2022-10-20T16:04:55.560978,of:0000000000000005,1,556,556
2022-10-20T16:04:55.560988,of:0000000000000005,2,556,556
2022-10-20T16:04:55.560997,of:0000000000000005,3,556,556
2022-10-20T16:04:55.561011,of:0000000000000006,1,0,556
2022-10-20T16:04:55.561021,of:0000000000000006,2,0,556
2022-10-20T16:04:55.561031,of:0000000000000006,3,556,556
2022-10-20T16:04:56.561684,of:0000000000000003,1,0,556
2022-10-20T16:04:56.561753,of:0000000000000003,2,0,556
2022-10-20T16:04:56.561763,of:0000000000000003,3,556,556
2022-10-20T16:04:56.561776,of:0000000000000004,1,0,556
